N,P,K,temperature,humidity,ph,rainfall,NPK_sum,N_to_P_ratio,temp_humidity_interaction,label
87.5,47.5,31.7,25.81,86.54,5.94,242.9,166.7,1.8421,22.336,rice
77.9,48.5,34.4,28.87,76.47,5.72,216.2,160.8,1.6062,22.0769,rice
89.7,38.2,47.5,23.04,87.22,5.91,231.0,175.4,2.3482,20.0955,rice
102.8,47.3,46.1,27.51,90.13,6.93,274.7,196.2,2.1734,24.7948,rice
76.5,47.9,39.8,24.41,84.48,5.93,236.7,164.2,1.5971,20.6216,rice
76.5,37.9,41.2,23.62,93.26,7.72,231.6,155.6,2.0185,22.028,rice
103.7,63.7,52.8,25.68,77.36,6.65,182.4,220.2,1.6279,19.866,rice
91.5,49.7,34.1,22.89,74.53,6.49,256.1,175.3,1.841,17.0599,rice
73.0,33.1,45.5,24.34,71.33,5.97,252.6,151.6,2.2054,17.3617,rice
88.1,51.6,38.0,22.41,90.98,6.75,305.7,177.7,1.7074,20.3886,rice
73.0,35.3,37.8,31.89,85.93,6.11,219.2,146.1,2.068,27.4031,rice
73.0,52.9,51.0,26.11,81.67,6.46,237.7,176.9,1.38,21.324,rice
83.6,56.6,48.3,23.9,83.68,7.68,238.7,188.5,1.477,19.9995,rice
51.3,36.8,48.1,26.64,75.25,6.35,285.2,136.2,1.394,20.0466,rice
54.1,54.6,53.1,25.66,96.67,6.97,226.7,161.8,0.9908,24.8055,rice
71.6,49.1,40.2,25.34,82.78,6.05,239.8,160.9,1.4582,20.9765,rice
64.8,53.2,46.8,27.84,82.66,6.38,251.3,164.8,1.218,23.0125,rice
84.7,64.0,36.9,28.27,86.35,7.29,236.5,185.6,1.3234,24.4111,rice
66.4,42.5,43.2,24.41,84.89,6.09,214.4,152.1,1.5624,20.7216,rice
58.8,37.5,38.7,24.27,83.34,7.31,236.8,135.0,1.568,20.2266,rice
102.0,36.1,41.0,25.17,77.26,6.75,267.6,179.1,2.8255,19.4463,rice
76.6,36.8,46.0,19.09,84.83,6.12,194.1,159.4,2.0815,16.194,rice
81.0,44.2,31.8,21.45,93.29,6.72,234.7,157.0,1.8326,20.0107,rice
58.6,48.4,60.9,30.1,90.07,6.89,205.5,167.9,1.2107,27.1111,rice
