date,temperature,humidity,rainfall,wind_speed,pressure,label,event_source
2005-07-24,26.7,91.0,11.8,18.9,1004.1,Low Risk,Mumbai Deluge 2005
2005-07-25,26.3,93.0,26.7,23.0,1003.1,Low Risk,Mumbai Deluge 2005
2005-07-26,26.3,93.0,69.6,27.8,1001.7,Flood Risk,Mumbai Deluge 2005
2005-07-27,26.5,92.0,59.4,24.8,1001.3,Flood Risk,Mumbai Deluge 2005
2005-07-28,27.0,90.0,45.0,25.4,1003.0,Flood Risk,Mumbai Deluge 2005
2005-07-29,25.7,92.0,32.7,26.9,1002.4,Low Risk,Mumbai Deluge 2005
2005-07-30,27.2,91.0,42.2,28.1,1001.2,Flood Risk,Mumbai Deluge 2005
2005-07-31,26.1,92.0,53.8,25.2,1001.3,Flood Risk,Mumbai Deluge 2005
2017-08-27,28.2,90.0,21.8,21.0,1001.6,Low Risk,Mumbai Floods 2017
2017-08-28,27.1,91.0,58.9,20.2,999.5,Flood Risk,Mumbai Floods 2017
2017-08-29,26.6,87.0,66.6,31.0,998.0,Flood Risk,Mumbai Floods 2017
2017-08-30,28.0,88.0,43.0,29.6,1001.9,Flood Risk,Mumbai Floods 2017
2017-08-31,29.0,86.0,7.5,26.2,1005.9,Low Risk,Mumbai Floods 2017
2017-09-01,27.7,89.0,7.5,23.7,1007.3,Low Risk,Mumbai Floods 2017
2017-09-02,28.1,88.0,4.8,19.2,1006.9,Low Risk,Mumbai Floods 2017
2019-07-01,26.8,93.0,36.6,15.5,1002.6,Flood Risk,Mumbai Floods 2019
2019-07-02,28.2,90.0,26.3,18.8,1002.8,Low Risk,Mumbai Floods 2019
2019-07-03,27.4,92.0,15.2,17.8,1003.2,Low Risk,Mumbai Floods 2019
2019-07-04,27.7,91.0,21.5,21.5,1002.7,Low Risk,Mumbai Floods 2019
2019-07-05,27.8,92.0,15.9,24.6,1001.6,Low Risk,Mumbai Floods 2019
2019-07-06,27.2,92.0,20.2,25.4,1001.2,Low Risk,Mumbai Floods 2019
2018-08-07,26.5,90.0,17.4,19.7,1009.0,Low Risk,Kerala Great Floods 2018
2018-08-08,25.6,93.0,32.5,20.1,1008.6,Low Risk,Kerala Great Floods 2018
2018-08-09,27.3,90.0,17.1,16.8,1010.3,Low Risk,Kerala Great Floods 2018
2018-08-10,26.8,91.0,13.4,19.9,1011.6,Low Risk,Kerala Great Floods 2018
2018-08-11,26.0,91.0,11.6,17.9,1010.8,Low Risk,Kerala Great Floods 2018
2018-08-12,26.3,92.0,21.5,22.8,1009.4,Low Risk,Kerala Great Floods 2018
2018-08-13,27.5,94.0,22.4,18.9,1009.0,Low Risk,Kerala Great Floods 2018
2018-08-14,26.2,93.0,46.0,27.5,1008.6,Flood Risk,Kerala Great Floods 2018
2018-08-15,24.9,92.0,104.9,32.0,1008.7,Flood Risk,Kerala Great Floods 2018
2018-08-16,26.3,92.0,59.2,31.5,1009.3,Flood Risk,Kerala Great Floods 2018
2018-08-17,26.0,91.0,26.5,25.5,1008.3,Low Risk,Kerala Great Floods 2018
2018-08-18,26.4,90.0,19.5,24.2,1008.4,Low Risk,Kerala Great Floods 2018
2018-08-19,26.5,91.0,14.0,23.3,1008.6,Low Risk,Kerala Great Floods 2018
2018-08-20,26.6,90.0,6.5,23.2,1009.2,Low Risk,Kerala Great Floods 2018
2018-08-07,23.2,97.0,62.2,21.0,939.6,Flood Risk,Idukki Kerala Floods 2018
2018-08-08,22.3,98.0,67.9,17.0,939.2,Flood Risk,Idukki Kerala Floods 2018
2018-08-09,23.5,98.0,61.5,15.5,941.0,Flood Risk,Idukki Kerala Floods 2018
2018-08-10,22.8,98.0,19.9,14.9,942.1,Low Risk,Idukki Kerala Floods 2018
2018-08-11,21.8,100.0,22.7,14.0,941.3,Low Risk,Idukki Kerala Floods 2018
2018-08-12,23.6,98.0,59.7,18.4,940.0,Flood Risk,Idukki Kerala Floods 2018
2018-08-13,23.3,98.0,69.4,16.7,940.0,Flood Risk,Idukki Kerala Floods 2018
2018-08-14,23.6,99.0,94.3,23.8,939.2,Flood Risk,Idukki Kerala Floods 2018
2018-08-15,21.4,100.0,200.7,25.2,939.0,Flood Risk,Idukki Kerala Floods 2018
2018-08-16,22.0,100.0,144.6,22.7,939.8,Flood Risk,Idukki Kerala Floods 2018
2018-08-17,22.8,99.0,75.4,20.8,938.9,Flood Risk,Idukki Kerala Floods 2018
2018-08-18,23.5,99.0,59.4,19.3,939.0,Flood Risk,Idukki Kerala Floods 2018
2018-08-19,23.6,97.0,40.3,20.0,939.3,Flood Risk,Idukki Kerala Floods 2018
2018-08-20,23.9,97.0,21.9,16.9,940.0,Low Risk,Idukki Kerala Floods 2018
2019-08-06,28.0,89.0,21.2,20.3,1008.7,Low Risk,Kerala Floods 2019
2019-08-07,27.3,90.0,36.9,22.9,1008.2,Flood Risk,Kerala Floods 2019
2019-08-08,26.2,92.0,34.5,25.9,1008.1,Low Risk,Kerala Floods 2019
